"l1","l2","train.mse","validate.mse","code"
2,0.5,853.37066497716,917.874189894992,"TTF"
4,0.5,858.53027036652,915.999330854584,"TTF"
6,0.5,863.742770744091,914.626339421776,"TTF"
8,0.5,868.79093947875,914.119340062301,"TTF"
10,0.5,873.74165658757,913.764699616914,"TTF"
12,0.5,878.592755434015,913.63409709746,"TTF"
14,0.5,883.282219711499,913.704169340101,"TTF"
16,0.5,887.627471175193,913.977076468905,"TTF"
18,0.5,891.572410910224,914.256280787164,"TTF"
20,0.5,895.382889712474,914.73813526676,"TTF"
0,0.6,855.221474327625,917.802946341353,"TTF"
2,0.6,859.889804147661,915.766343125639,"TTF"
4,0.6,864.711518938485,914.461682567073,"TTF"
6,0.6,869.483399073696,913.820322197929,"TTF"
8,0.6,874.194268864167,913.547658096667,"TTF"
10,0.6,878.815507023323,913.669342790297,"TTF"
12,0.6,883.318539013291,913.887969313206,"TTF"
14,0.6,887.66167782088,914.246616791177,"TTF"
16,0.6,891.639972338863,914.815872192735,"TTF"
18,0.6,895.304341910561,915.158857193021,"TTF"
20,0.6,899.006001970181,915.717421763777,"TTF"
0,0,786.230967194299,1044.5189099431,"FTF"
2,0,790.66874158627,1007.95081245923,"FTF"
4,0,798.242268212038,986.090352267485,"FTF"
6,0,807.359811221402,971.025564628875,"FTF"
8,0,817.267281282096,960.280941039573,"FTF"
10,0,825.863693142531,948.857678523651,"FTF"
12,0,834.423968290818,939.022256319581,"FTF"
14,0,843.37082163987,931.160312405392,"FTF"
16,0,852.034179954305,925.712085004896,"FTF"
18,0,859.038576572045,922.066456274471,"FTF"
20,0,865.741305931186,919.36892004652,"FTF"
0,0.1,804.605514765845,970.246886148292,"FTF"
2,0.1,811.084454200295,957.624404508512,"FTF"
4,0.1,818.267839521741,947.671320498391,"FTF"
6,0.1,825.948489064961,940.383634967423,"FTF"
8,0.1,833.712862786313,934.856217639202,"FTF"
10,0.1,841.220418536576,929.447336813034,"FTF"
12,0.1,848.655175368888,924.181468907475,"FTF"
14,0.1,856.028430580625,920.02399500831,"FTF"
16,0.1,862.721920003067,917.796619244049,"FTF"
18,0.1,868.78820458518,916.191567244997,"FTF"
20,0.1,874.42784100028,915.393811095304,"FTF"
0,0.2,819.323501176397,944.756607441032,"FTF"
2,0.2,825.459649322436,937.351008337457,"FTF"
4,0.2,832.048165340838,931.64430546907,"FTF"
6,0.2,838.84913238442,927.112982413654,"FTF"
8,0.2,845.620097116793,923.853706451249,"FTF"
10,0.2,852.283145284171,920.891058905348,"FTF"
12,0.2,858.945648758249,917.858332155636,"FTF"
14,0.2,865.040104441439,915.615540727191,"FTF"
16,0.2,870.888258796937,914.411987744163,"FTF"
18,0.2,876.269516928433,913.849189239985,"FTF"
20,0.2,881.099651752131,913.804157055503,"FTF"
0,0.3,830.984146291366,932.10691763472,"FTF"
2,0.3,836.712393486977,927.034237871503,"FTF"
4,0.3,842.682919553667,923.354904149111,"FTF"
6,0.3,848.832626504407,920.240324075635,"FTF"
8,0.3,854.961453124277,918.317010256004,"FTF"
10,0.3,860.879315046544,916.542068275137,"FTF"
12,0.3,866.750742623836,915.228959754226,"FTF"
14,0.3,872.234926608891,913.954297423134,"FTF"
16,0.3,877.477074638743,913.283789236604,"FTF"
18,0.3,882.190463296822,913.286549715832,"FTF"
20,0.3,886.54593514946,913.461106693215,"FTF"
0,0.4,840.510626118391,924.863885197412,"FTF"
2,0.4,845.789402554213,921.192490847091,"FTF"
4,0.4,851.287670505114,918.616119099092,"FTF"
6,0.4,856.916440961711,916.544666129404,"FTF"
8,0.4,862.461769722179,915.472564090357,"FTF"
10,0.4,867.846063389133,914.544319385282,"FTF"
12,0.4,873.175409139687,913.981448150298,"FTF"
14,0.4,878.151251208508,913.557524098571,"FTF"
16,0.4,882.988202455457,913.364316050739,"FTF"
18,0.4,887.186577369604,913.542890616095,"FTF"
20,0.4,891.251800558122,913.88961136976,"FTF"
0,0.5,848.439550571699,920.538236606681,"FTF"
2,0.5,853.37701153081,917.840550157242,"FTF"
4,0.5,858.487463937912,915.919085178278,"FTF"
6,0.5,863.714191784608,914.591705975342,"FTF"
8,0.5,868.754664840939,914.121685356687,"FTF"
10,0.5,873.721878427466,913.745670217714,"FTF"
12,0.5,878.601761604796,913.622814604205,"FTF"
14,0.5,883.274324574151,913.660768582846,"FTF"
16,0.5,887.613222277013,913.962887256381,"FTF"
18,0.5,891.508198681071,914.190131863052,"FTF"
20,0.5,895.359367781773,914.711731435273,"FTF"
0,0.6,855.204234511013,917.862062519644,"FTF"
2,0.6,859.854557658654,915.824539473387,"FTF"
4,0.6,864.663022435417,914.462806652705,"FTF"
6,0.6,869.457331465857,913.788011900092,"FTF"
8,0.6,874.178580257045,913.518774373107,"FTF"
10,0.6,878.784166937109,913.647951548494,"FTF"
12,0.6,883.322953612194,913.87079349703,"FTF"
14,0.6,887.644837645346,914.219920760611,"FTF"
16,0.6,891.619676955334,914.795866597076,"FTF"
18,0.6,895.28430132567,915.114005729239,"FTF"
20,0.6,898.979596020542,915.690795951391,"FTF"
0,0,944.720795007208,907.129937551251,"TFF"
2,0,945.166136095523,905.61239426947,"TFF"
4,0,946.132127578455,906.680517975873,"TFF"
6,0,946.943572852188,908.261499233219,"TFF"
8,0,947.714260941196,910.063121218983,"TFF"
10,0,948.68012932139,912.019713968633,"TFF"
12,0,949.86042730797,914.169335556627,"TFF"
14,0,951.250996272058,916.513787091753,"TFF"
16,0,952.660063974606,918.969172696235,"TFF"
18,0,954.003514069881,921.468664891005,"TFF"
20,0,955.498841326596,924.104507697857,"TFF"
0,0.1,955.987910847958,931.36841840203,"TFF"
2,0.1,957.096512035559,932.733465126209,"TFF"
4,0.1,958.229913129117,934.356293435726,"TFF"
6,0.1,959.36892757937,936.092652295329,"TFF"
8,0.1,960.563460240002,937.896491584895,"TFF"
10,0.1,961.753522892138,939.678257538612,"TFF"
12,0.1,963.005750916027,941.515152514894,"TFF"
14,0.1,964.319902135155,943.406854490831,"TFF"
16,0.1,965.680613825548,945.338683534149,"TFF"
18,0.1,967.067351990247,947.294181429451,"TFF"
20,0.1,968.34904678255,949.212129034566,"TFF"
0,0.2,964.96081111122,946.377604997208,"TFF"
2,0.2,965.965973993977,947.661751965722,"TFF"
4,0.2,966.9768424184,949.049730686633,"TFF"
6,0.2,967.982089892465,950.501616226787,"TFF"
8,0.2,969.023882855151,951.988444967139,"TFF"
10,0.2,970.067803221501,953.466088230289,"TFF"
12,0.2,971.124393375489,954.946110989769,"TFF"
14,0.2,972.214446211963,956.452193729461,"TFF"
16,0.2,973.311922814963,957.9686095625,"TFF"
18,0.2,974.417596451631,959.494469186491,"TFF"
20,0.2,975.498771161092,961.014128022201,"TFF"
