"trees","train.mse","validate.mse","code"
50,759.924214713855,910.091905739414,"TFF"
100,764.254978167372,902.943664734492,"TFF"
150,752.992642629976,907.554919592384,"TFF"
200,763.587373043789,900.984786257409,"TFF"
250,767.965297583178,906.345612444733,"TFF"
50,879.049094278079,923.010379182551,"FFF"
100,868.765364005109,910.3794247242,"FFF"
150,874.512859047896,913.573961412257,"FFF"
200,868.444744726957,913.050975774354,"FFF"
250,873.746587528366,913.310683888986,"FFF"
50,389.808617651942,1001.68041342942,"TTT"
100,384.676625019272,991.523919361257,"TTT"
150,368.296878850309,996.674601363797,"TTT"
200,370.433504221683,986.137560193607,"TTT"
250,371.809087993697,983.909189283489,"TTT"
50,392.933867718675,1010.80216496364,"FTT"
100,357.990062614559,995.781245141422,"FTT"
150,373.373975113665,985.099114093842,"FTT"
200,365.551687724511,989.712990867307,"FTT"
250,371.470073624091,994.016155767093,"FTT"
50,402.359458776126,1077.66542755992,"TFT"
100,395.577468962175,1053.75847249054,"TFT"
150,393.938374747802,1062.04752109663,"TFT"
200,383.658869533732,1073.00175889851,"TFT"
250,382.339277586005,1061.08089324114,"TFT"
50,415.126860615046,1065.2416457708,"FFT"
100,402.327707678103,1077.40424729701,"FFT"
150,395.584096801043,1074.19019576146,"FFT"
200,379.894064926134,1078.04042399339,"FFT"
250,379.08610206788,1070.61462052635,"FFT"
50,371.517748230569,1015.06460893497,"TTF"
100,377.765448579066,1006.51582661978,"TTF"
150,365.493597742399,1007.00948198283,"TTF"
200,367.236386370654,1015.51422211464,"TTF"
250,362.461138749621,1001.77902627944,"TTF"
50,379.217107284326,1003.27453765558,"FTF"
100,376.276925336958,1001.97170211784,"FTF"
150,367.072839753699,998.603042301653,"FTF"
200,365.514391029316,1012.55603329285,"FTF"
250,367.866201542241,1005.35066087462,"FTF"
50,785.143914476328,991.641108334844,"TFF"
100,765.202754437984,985.449283254472,"TFF"
150,759.463998227495,992.821364012438,"TFF"
200,758.724843862353,988.579313542808,"TFF"
250,756.717203650652,984.67773845647,"TFF"
50,874.335829002069,980.603188638047,"FFF"
100,858.549623389656,990.112050848218,"FFF"
150,853.887738305966,993.941165580239,"FFF"
200,858.18605647863,992.238255821723,"FFF"
250,859.422786088518,990.604920852938,"FFF"
50,360.595368634241,1016.81610616059,"TTT"
100,347.178289307851,1023.07611456979,"TTT"
150,344.582569815302,1011.87126375168,"TTT"
200,344.609993162771,1009.04474128235,"TTT"
250,342.708978168788,1010.23354775465,"TTT"
50,364.157769836132,1017.04475329838,"FTT"
100,356.5491518402,1007.80403460364,"FTT"
150,346.856431286361,1014.92226493391,"FTT"
200,337.152436217427,1011.49562468939,"FTT"
250,343.41608035891,1000.7339906476,"FTT"
50,366.865842266853,1103.40160733212,"TFT"
100,366.437287674187,1072.79930655883,"TFT"
150,362.477017168595,1093.95578634152,"TFT"
200,365.923814177626,1098.99578253838,"TFT"
250,362.953609561538,1089.89320861146,"TFT"
50,377.031206715778,1132.55901648531,"FFT"
100,371.405627221348,1115.58663822665,"FFT"
150,369.521530169844,1114.17206938661,"FFT"
200,369.441776230146,1125.46417492209,"FFT"
250,368.795902241193,1119.1356762528,"FFT"
50,367.037112411325,1011.08709150684,"TTF"
100,351.335590845726,1002.89133497792,"TTF"
150,349.152860662194,994.452362299027,"TTF"
200,343.389871128007,991.285634372877,"TTF"
250,341.182050932962,1002.3753294254,"TTF"
50,362.435055330444,1012.27640361807,"FTF"
100,367.746707385361,991.290842954074,"FTF"
150,353.655952621052,1000.99100238868,"FTF"
200,354.604656249193,997.993270388487,"FTF"
250,345.108775178347,995.447050228789,"FTF"
50,739.281521981637,979.970018846467,"TFF"
100,737.083073073092,974.857608725946,"TFF"
150,732.737760242863,977.50698473291,"TFF"
200,727.147920804737,968.937830217752,"TFF"
250,733.92079487977,974.821501721899,"TFF"
50,851.009228106285,980.389044973752,"FFF"
100,852.637706519077,982.260640057432,"FFF"
150,849.369286771266,987.541600979896,"FFF"
200,848.399161752873,983.638163155219,"FFF"
250,846.81160213425,981.471359218003,"FFF"
50,406.57158430461,958.341020536417,"TTT"
100,393.210109113448,942.346459963008,"TTT"
150,395.228021406963,937.695541466058,"TTT"
200,379.387964002426,950.035238701772,"TTT"
250,383.154652465301,940.708578474144,"TTT"
50,402.390038979739,959.507511135897,"FTT"
100,386.507912343119,958.879593552296,"FTT"
150,383.933093297533,938.020766448701,"FTT"
200,398.03588532647,943.330478678253,"FTT"
250,389.685101261755,938.620711931651,"FTT"
50,417.999106512736,991.261441047879,"TFT"
100,414.400602324682,986.373533202037,"TFT"
150,404.146368604896,986.217414579183,"TFT"
200,397.876745003958,1004.49178487909,"TFT"
250,398.083369227329,986.157030674667,"TFT"
50,410.2715436557,1009.69035840599,"FFT"
100,407.025031285733,1013.00619223553,"FFT"
150,403.767428993637,986.609297100741,"FFT"
200,399.709984747644,1002.52277749236,"FFT"
250,392.848070890569,998.144265115493,"FFT"
50,398.990100646515,975.077865285667,"TTF"
100,384.369903251313,964.975446349259,"TTF"
150,384.829128411174,948.462913836066,"TTF"
200,375.29197813621,957.710529058085,"TTF"
250,390.486313508209,950.017966395941,"TTF"
50,397.220923301248,959.609695612981,"FTF"
100,388.785331774417,962.562138398109,"FTF"
150,387.216382739559,957.491341569908,"FTF"
200,389.491291698155,955.090375887417,"FTF"
250,378.294542313158,957.547710280955,"FTF"
50,792.598198481344,946.030704110522,"TFF"
100,776.708901741879,951.052254095727,"TFF"
150,777.096268781869,946.423158072773,"TFF"
200,774.931756263722,947.623880261791,"TFF"
250,770.631818195181,950.581432314822,"TFF"
50,901.807464136677,934.051749760637,"FFF"
100,895.509867574964,939.757037782974,"FFF"
150,904.43222377898,931.37937123867,"FFF"
200,900.037505150913,935.531987645226,"FFF"
250,899.355608104486,933.553568160275,"FFF"
50,370.982097499489,856.27144538381,"TTT"
100,362.536697886752,846.164173656436,"TTT"
150,363.545919777975,836.344298944345,"TTT"
200,358.535344587297,837.942071392782,"TTT"
250,359.903603256655,836.118970369405,"TTT"
50,371.104383614039,856.561076534041,"FTT"
100,369.057616918336,839.488448967106,"FTT"
150,360.574522852902,847.264465461773,"FTT"
200,357.943522608787,851.869855179477,"FTT"
250,361.441463066932,839.438166391075,"FTT"
50,379.45142839687,876.77280015573,"TFT"
100,385.608661755974,882.502448322534,"TFT"
150,367.063878312293,871.513762916584,"TFT"
200,372.073064780741,877.715163426892,"TFT"
250,375.951410786388,870.10719914713,"TFT"
50,396.223161796935,906.60248333089,"FFT"
100,374.096092880569,903.467219218025,"FFT"
150,390.028048502963,902.801610145753,"FFT"
200,374.52907872084,898.384189941912,"FFT"
250,372.809622490473,906.794919615171,"FFT"
50,377.307128000472,876.724394904916,"TTF"
100,354.696992489866,869.474551442969,"TTF"
150,353.309965184148,861.478263358109,"TTF"
200,354.260726258754,856.818745517035,"TTF"
250,354.039335074151,855.475174421957,"TTF"
50,387.995781239192,870.282841036871,"FTF"
100,361.139600405314,852.611118773471,"FTF"
150,358.747158010641,845.867141879403,"FTF"
200,356.157660743291,847.295870142318,"FTF"
250,355.184487445074,854.576999679452,"FTF"
50,754.325227776636,806.288933671171,"TFF"
100,744.259065090622,803.610505322472,"TFF"
150,746.86045933798,804.185075090671,"TFF"
200,745.774556767725,801.30402989187,"TFF"
250,742.575938234804,798.04883678368,"TFF"
50,865.487906666068,832.990247168446,"FFF"
100,869.319722446516,823.420754472096,"FFF"
150,867.597332567568,818.330273792106,"FFF"
200,869.89041727996,822.647560228789,"FFF"
250,872.501791907261,823.853123367824,"FFF"
50,348.794189703241,1172.33103536191,"TTT"
100,347.135315998889,1154.47550258307,"TTT"
150,335.96252188441,1145.2850970575,"TTT"
200,338.522020252362,1143.67656987671,"TTT"
250,338.628027461351,1154.54472906388,"TTT"
50,339.150630325163,1168.52051872635,"FTT"
100,337.591478948724,1156.08512604839,"FTT"
150,333.505973807857,1159.8154188616,"FTT"
200,335.144716990512,1157.16880216088,"FTT"
250,335.928700294803,1155.03951618818,"FTT"
50,370.180935389135,1177.25878617276,"TFT"
100,353.456810219704,1167.16949077279,"TFT"
150,352.798996357793,1154.05090922254,"TFT"
200,351.630162518825,1159.46416316114,"TFT"
250,353.11716011319,1161.79659192251,"TFT"
